"BK_CLIENTE","COD_CLIENTE","LOJA_CLIENTE","NOME_CLIENTE","SEGMENTACAO_ATIVIDADE_1","INSTANCIA"
"P |01|SA1T10|D MG|00000101","000001","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|00000201","000002","01","CLIENTE ANDREA                          ","      ","01"
"P |01|SA1T10|D MG|00000301","000003","01","CLIENTE PJ IR EMISSAO ANDREA            ","      ","01"
"P |01|SA1T10|D MG|00000401","000004","01","CLIENTE PJ IR EMISSAO ANDREA            ","      ","01"
"P |01|SA1T10|D MG|00000501","000005","01","CLIENTE PCC ANDREA                      ","      ","01"
"P |01|SA1T10|D MG|00000601","000006","01","CLIENTE IR/ISS ANDREA                   ","      ","01"
"P |01|SA1T10|D MG|00000701","000007","01","CLIENTE IR/PCC BX ANDREA                ","      ","01"
"P |01|SA1T10|D MG|00000801","000008","01","CLIENTE NOVO ANDREA                     ","      ","01"
"P |01|SA1T10|D MG|00000901","000009","01","CLIENTE IR/PCC BAIXA ANDREA             ","      ","01"
"P |01|SA1T10|D MG|00001001","000010","01","CLIENTE ISS(NAO) ANDREA                 ","      ","01"
"P |01|SA1T10|D MG|00001101","000011","01","CLIENTE 000011                          ","      ","01"
"P |01|SA1T10|D MG|00001201","000012","01","CLIENTE TMKA2590                        ","      ","01"
"P |01|SA1T10|D MG|00001301","000013","01","CLIENTE TITULO ISS                      ","      ","01"
"P |01|SA1T10|D MG|00001401","000014","01","CLIENTE TESTE FINR137 ASTERISCOS        ","      ","01"
"P |01|SA1T10|D MG|00001501","000015","01","CLIENTE SOLIDARIO ANDREA                ","      ","01"
"P |01|SA1T10|D MG|00001601","000016","01","CLIENTE PCC BX ANDREA                   ","      ","01"
"P |01|SA1T10|D MG|00001701","000017","01","CLIENTE IR EM/PCC BX                    ","      ","01"
"P |01|SA1T10|D MG|00001801","000018","01","CLIENTE ISS(NAO)                        ","      ","01"
"P |01|SA1T10|D MG|00001901","000019","01","CLIENTE FCI                             ","      ","01"
"P |01|SA1T10|D MG|00002001","000020","01","CLIENTE TODOS IMP                       ","      ","01"
"P |01|SA1T10|D MG|00002101","000021","01","CLIENTE COM VENDEDOR                    ","      ","01"
"P |01|SA1T10|D MG|00002201","000022","01","CLIENTE NOVO ANDREA                     ","      ","01"
"P |01|SA1T10|D MG|00002301","000023","01","CLIENTE PCC/IR BX ANDREA                ","      ","01"
"P |01|SA1T10|D MG|00002501","000025","01","CLIENTE TESTE                           ","      ","01"
"P |01|SA1T10|D MG|00002601","000026","01","CLIENTE TESTE TRING                     ","      ","01"
"P |01|SA1T10|D MG|00002701","000027","01","CLIENTE FCI 2                           ","      ","01"
"P |01|SA1T10|D MG|00002801","000028","01","TESTE FINR340 ABATIMENTO                ","      ","01"
"P |01|SA1T10|D MG|00002901","000029","01","DSERFINR-12985                          ","      ","01"
"P |01|SA1T10|D MG|00003001","000030","01","!@#$%¨&*()-_=+´`~^{}[]|\/?""","      ","01"
"P |01|SA1T10|D MG|00003101","000031","01","COM PCC E IR                            ","      ","01"
"P |01|SA1T10|D MG|000101","0001  ","01","TOTVS                                   ","      ","01"
"P |01|SA1T10|D MG|00101","001   ","01","1                                       ","      ","01"
"P |01|SA1T10|D MG|00159901","001599","01","TESTE CLIENTE                           ","      ","01"
"P |01|SA1T10|D MG|001ATF01","001ATF","01","001ATF                                  ","      ","01"
"P |01|SA1T10|D MG|001CEC01","001CEC","01","CLIENTE SIMPLES CEC                     ","      ","01"
"P |01|SA1T10|D MG|001CRM01","001CRM","01","CLIENTE CRM001                          ","      ","01"
"P |01|SA1T10|D MG|001FIN01","001FIN","01","CLIENTE P/RESERVE                       ","      ","01"
"P |01|SA1T10|D MG|001TEC01","001TEC","01","CLIENTE SIGATEC                         ","      ","01"
"P |01|SA1T10|D MG|00201","002   ","01","FAT VD VISA                             ","      ","01"
"P |01|SA1T10|D MG|002FIN01","002FIN","01","CLIENTE 2 P/RESERVE                     ","      ","01"
"P |01|SA1T10|D MG|00301","003   ","01","GETNET                                  ","      ","01"
"P |01|SA1T10|D MG|00330901","003309","01","IMA                                     ","      ","01"
"P |01|SA1T10|D MG|003FIN01","003FIN","01","CLIENTE SIMPLES                         ","      ","01"
"P |01|SA1T10|D MG|00401","004   ","01","GETNET                                  ","      ","01"
"P |01|SA1T10|D MG|004FIN01","004FIN","01","CLIENTE SIMPLES                         ","      ","01"
"P |01|SA1T10|D MG|005FIN01","005FIN","01","CLIENTE PCC                             ","      ","01"
"P |01|SA1T10|D MG|006FIN01","006FIN","01","CLIENTE IRRF                            ","      ","01"
"P |01|SA1T10|D MG|007FIN01","007FIN","01","CLIENTE INSS                            ","      ","01"
"P |01|SA1T10|D MG|008FIN01","008FIN","01","CLIENTE CETEC                           ","      ","01"
"P |01|SA1T10|D MG|009FIN01","009FIN","01","CLIENTE CETEC PCC                       ","      ","01"
"P |01|SA1T10|D MG|010FIN01","010FIN","01","CETEC INSS                              ","      ","01"
"P |01|SA1T10|D MG|011FIN01","011FIN","01","CLIENTE PCC PJ                          ","      ","01"
"P |01|SA1T10|D MG|012FIN01","012FIN","01","CLIENTE PCC PJ                          ","      ","01"
"P |01|SA1T10|D MG|0222202","02222 ","02","AIRTOM REGIS                            ","      ","01"
"P |01|SA1T10|D MG|02402401","024024","01","CLIENTE DOC                             ","      ","01"
"P |01|SA1T10|D MG|02569501","025695","01","CLIENTE MESMA RAIZ CNPJ                 ","      ","01"
"P |01|SA1T10|D MG|0332","033   ","2 ","TESTE                                   ","      ","01"
"P |01|SA1T10|D MG|090801","0908  ","01","KELLY DEVOLUCAO                         ","      ","01"
"P |01|SA1T10|D MG|10010001","100100","01","EXCLUSAO BAIXA NA MOEDA 2 COM MOTIVO DEV","      ","01"
"P |01|SA1T10|D MG|10FINC01","10FINC","01","TESTE FINC010                           ","      ","01"
